"Inst Time","Flow (gpm)"
08/11/2017 07:00 AM,924.119873046875
08/11/2017 07:15 AM,933.744873046875
08/11/2017 07:30 AM,959.867797851563
08/11/2017 07:45 AM,980.458374023438
08/11/2017 08:00 AM,975.200805664063
08/11/2017 08:15 AM,983.9814453125
08/11/2017 08:30 AM,976.029357910156
08/11/2017 08:45 AM,976.029357910156
08/11/2017 09:00 AM,974.424194335938
08/11/2017 09:15 AM,971.33251953125
08/11/2017 09:30 AM,961.785705566406
08/11/2017 09:45 AM,980.01611328125
08/11/2017 10:00 AM,950.961364746094
08/11/2017 10:15 AM,927.709350585938
08/11/2017 10:30 AM,922.298522949219
08/11/2017 10:45 AM,910.773254394531
08/11/2017 11:00 AM,890.678894042969
08/11/2017 11:15 AM,883.367004394531
08/11/2017 11:30 AM,869.439880371094
08/11/2017 11:45 AM,866.5576171875
08/11/2017 12:00 PM,849.511291503906
08/11/2017 12:15 PM,849.511291503906
08/11/2017 12:30 PM,858.429321289063
08/11/2017 12:45 PM,866.5576171875
08/11/2017 01:00 PM,859.668518066406
08/11/2017 01:15 PM,869.178161621094
08/11/2017 01:30 PM,859.668518066406
08/11/2017 01:45 PM,846.713073730469
08/11/2017 02:00 PM,813.272155761719
08/11/2017 02:15 PM,800.195251464844
08/11/2017 02:30 PM,791.202514648438
08/11/2017 02:45 PM,785.675170898438
08/11/2017 03:00 PM,785.481323242188
08/11/2017 03:15 PM,785.675170898438
08/11/2017 03:30 PM,785.675170898438
08/11/2017 03:45 PM,793.280700683594
08/11/2017 04:00 PM,796.011962890625
08/11/2017 04:15 PM,830.516845703125
08/11/2017 04:30 PM,830.516845703125
08/11/2017 04:45 PM,830.516845703125
08/11/2017 05:00 PM,827.023071289063
08/11/2017 05:15 PM,825.823974609375
08/11/2017 05:30 PM,821.029663085938
08/11/2017 05:45 PM,819.831970214844
08/11/2017 06:00 PM,817.436584472656
08/11/2017 06:15 PM,804.197143554688
08/11/2017 06:30 PM,798.309875488281
08/11/2017 06:45 PM,798.309875488281
08/11/2017 07:00 PM,798.309875488281
08/11/2017 07:15 PM,802.035339355469
08/11/2017 07:30 PM,802.29833984375
08/11/2017 07:45 PM,814.148010253906
08/11/2017 08:00 PM,814.148010253906
08/11/2017 08:15 PM,806.044860839844
08/11/2017 08:30 PM,814.148010253906
08/11/2017 08:45 PM,814.148010253906
08/11/2017 09:00 PM,813.151184082031
08/11/2017 09:15 PM,800.4248046875
08/11/2017 09:30 PM,817.456420898438
08/11/2017 09:45 PM,800.141540527344
08/11/2017 10:00 PM,800.141540527344
08/11/2017 10:15 PM,800.141540527344
08/11/2017 10:30 PM,806.027404785156
08/11/2017 10:45 PM,797.963439941406
08/11/2017 11:00 PM,780.647705078125
08/11/2017 11:15 PM,746.878356933594
08/11/2017 11:30 PM,724.43994140625
08/11/2017 11:45 PM,710.908874511719
08/12/2017 12:00 AM,692.079895019531
08/12/2017 12:15 AM,689.93212890625
08/12/2017 12:30 AM,681.341125488281
08/12/2017 12:45 AM,673.736267089844
08/12/2017 01:00 AM,656.619262695313
08/12/2017 01:15 AM,665.075622558594
08/12/2017 01:30 AM,665.075622558594
08/12/2017 01:45 AM,664.602355957031
08/12/2017 02:00 AM,656.619262695313
